Place|Address|Phone Number|Website|Actual Place Name|Latitude|Longitude|Place Type|Latest Review|Review Date
GBI PINTU SONA PINTU SONA ,kecamatan PANGURURAN, SAMOSIR |HPX3+6WQ, Pardomuan I, Kec. Pangururan, Kabupaten Samosir, Sumatera Utara 22392|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|GBI PINTU SONA|2.5980917|98.7048685|Gereja|Tidak ada review|Tidak ada review
Kos Kosan DSTMS PINTU SONA ,kecamatan PANGURURAN, SAMOSIR |HPX4+CR4, Pardomuan I, Kec. Pangururan, Kabupaten Samosir, Sumatera Utara 22392|0888-0899-2661|Alamat web tidak ditemukan|Kos Kosan D'STMS|2.5985012|98.7070712|Hotel|Tidak ada review|Tidak ada review
Diamond Homestay PINTU SONA ,kecamatan PANGURURAN, SAMOSIR |GBI, Jl. Dr. Hadrianus Sinaga, Pintu Sona, Kec. Pangururan, Kabupaten Samosir, Sumatera Utara 22392|0822-7694-6911|Alamat web tidak ditemukan|Diamond Homestay|2.5985837|98.7056318|Komplek perumahan|Tidak ada review|Tidak ada review
Lambok boardinghouse PINTU SONA ,kecamatan PANGURURAN, SAMOSIR |HPX4+86Q, Gg. GBI, Pintu Sona, Kec. Pangururan, Kabupaten Samosir, Sumatera Utara 22392|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|Lambok boarding house|2.5983334|98.7056046|Agen Properti|Tidak ada review|Tidak ada review
NT NAEL Rumah ParfumNael Toko Parfum PINTU SONA ,kecamatan PANGURURAN, SAMOSIR |HPW4+XQC, Jl. Dr. Hadrianus Sinaga, Pintu Sona, Kec. Pangururan, Kabupaten Samosir, Sumatera Utara 22392|0852-6281-1531|http://olshopin.com/t/752927|NT NAEL (Rumah Parfum Nael)|2.5974279|98.7068983|Toko Parfum|Tidak ada review|Tidak ada review
Homestay Duta Collection PINTU SONA ,kecamatan PANGURURAN, SAMOSIR |Pallimutan Sosor simbolon, Kabupaten Samosir, Sumatera Utara 22392|0813-7628-2858|Alamat web tidak ditemukan|Homestay Duta Collection|2.5982371|98.707287|Rumah singgah|Tidak ada review|Tidak ada review
WARUNG SS SEHATSEJAHTERA Brunch PINTU SONA ,kecamatan PANGURURAN, SAMOSIR |Jl. Dr. Hadrianus Sinaga, Pintu Sona, Kec. Pangururan, Kabupaten Samosir, Sumatera Utara 22392|0813-9750-5084|Alamat web tidak ditemukan|"WARUNG SS "" SEHAT SEJAHTERA """|2.5972307|98.7069845|Kedai Sarapan & Makan Siang|Tidak ada review|Tidak ada review
Apotek Parna Jaya PINTU SONA ,kecamatan PANGURURAN, SAMOSIR |HPW4+VR7, Pintu Sona, Kec. Pangururan, Kabupaten Samosir, Sumatera Utara 22392|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|Apotek Parna Jaya|2.5971537|98.7070435|Apotek|Tidak ada review|Tidak ada review
Kembar Water PINTU SONA ,kecamatan PANGURURAN, SAMOSIR |HPW4+XQJ, Jl. Dr. Hadrianus Sinaga, Pintu Sona, Kec. Pangururan, Kabupaten Samosir, Sumatera Utara 22392|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|Kembar Water|2.5975582|98.7068792|Fasilitas Pengolahan Air|Tidak ada review|Tidak ada review
 Lapisan PINTU SONA ,kecamatan PANGURURAN, SAMOSIR |Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal
